code,suffix,name,sector,subsector
060310,KQ,3S,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",
095570,KS,AJ네트웍스,산업용 기계 및 장비 임대업,
006840,KS,AK홀딩스,기타 금융업,
054620,KQ,APS,기타 금융업,
079810,KQ,APS이노베이션,기타 전기장비 제조업,
265520,KQ,AP시스템,특수 목적용 기계 제조업,
211270,KQ,AP위성,통신 및 방송 장비 제조업,
027410,KS,BGF,기타 금융업,
282330,KS,BGF리테일,종합 소매업,
126600,KQ,BGF에코머티리얼즈,합성고무 및 플라스틱 물질 제조업,
138930,KS,BNK금융지주,기타 금융업,
001460,KS,BYC,봉제의복 제조업,
001465,KS,BYC우,,
083790,KQ,CG인바이츠,자연과학 및 공학 연구개발업,
001040,KS,CJ,기타 금융업,
079160,KS,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업",
035760,KQ,CJ ENM,텔레비전 방송업,
311690,KQ,CJ 바이오사이언스,자연과학 및 공학 연구개발업,
000120,KS,CJ대한통운,도로 화물 운송업,
011150,KS,CJ씨푸드,기타 식품 제조업,
011155,KS,CJ씨푸드1우,,
001045,KS,CJ우,,
097950,KS,CJ제일제당,기타 식품 제조업,
097955,KS,CJ제일제당 우,,
051500,KQ,CJ프레시웨이,음·식료품 및 담배 도매업,
058820,KQ,CMG제약,의약품 제조업,
056730,KQ,CNT85,건물 건설업,
000480,KS,CR홀딩스,"내화, 비내화 요업제품 제조업",
065770,KQ,CS,통신 및 방송 장비 제조업,
083660,KQ,CSA 코스믹,기타 화학제품 제조업,
000590,KS,CS홀딩스,기타 금융업,
012030,KS,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",
477760,KQ,DB금융스팩12호,기타 금융업,
005830,KS,DB손해보험,보험업,
016610,KS,DB증권,금융 지원 서비스업,
000990,KS,DB하이텍,반도체 제조업,
290120,KQ,DH오토리드,자동차 신품 부품 제조업,
025440,KQ,DH오토웨어,영상 및 음향기기 제조업,
001530,KS,DI동일,상품 중개업,
015590,KS,DKME,일반 목적용 기계 제조업,
000210,KS,DL,기초 화학물질 제조업,
000215,KS,DL우,,
375500,KS,DL이앤씨,토목 건설업,
068790,KQ,DMS,특수 목적용 기계 제조업,
007340,KS,DN오토모티브,일차전지 및 이차전지 제조업,
004840,KS,DRB동일,고무제품 제조업,
241520,KQ,DSC인베스트먼트,신탁업 및 집합투자업,
155660,KS,DSR,1차 비철금속 제조업,
069730,KS,DSR제강,1차 철강 제조업,
017860,KS,DS단석,기타 화학제품 제조업,
180400,KQ,DXVX,기타 과학기술 서비스업,
092780,KS,DYP,자동차용 엔진 및 자동차 제조업,
017940,KS,E1,기타 전문 도매업,
418620,KQ,E8,소프트웨어 개발 및 공급업,
037370,KQ,EG,기초 화학물질 제조업,
365550,KS,ESR켄달스퀘어리츠,부동산 임대 및 공급업,
050120,KQ,ES큐브,생활용품 도매업,
383220,KS,F&F,봉제의복 제조업,
007700,KS,F&F홀딩스,기타 금융업,
214270,KQ,FSN,소프트웨어 개발 및 공급업,
032620,KQ,GC메디아이,소프트웨어 개발 및 공급업,
130500,KQ,GH신소재,기타 섬유제품 제조업,
114090,KS,GKL,유원지 및 기타 오락관련 서비스업,
900290,KQ,GRT,기타 금융업,
078930,KS,GS,기타 금융업,
083450,KQ,GST,특수 목적용 기계 제조업,
006360,KS,GS건설,건물 건설업,
001250,KS,GS글로벌,상품 종합 도매업,
007070,KS,GS리테일,종합 소매업,
078935,KS,GS우,,
499790,KS,GS피앤엘,기타 금융업,
297890,KQ,HB솔루션,특수 목적용 기계 제조업,
440290,KQ,HB인베스트먼트,기타 금융업,
078150,KQ,HB테크놀러지,특수 목적용 기계 제조업,
225530,KQ,HC보광산업,기타 비금속 광물제품 제조업,
060560,KQ,HC홈센타,기타 전문 도매업,
012630,KS,HDC,기타 금융업,
039570,KS,HDC랩스,전기 및 통신 공사업,
089470,KS,HDC현대EP,기타 화학제품 제조업,
267270,KS,HD건설기계,특수 목적용 기계 제조업,
009540,KS,HD한국조선해양,기타 금융업,
267250,KS,HD현대,기타 금융업,
443060,KS,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업",
071970,KS,HD현대마린엔진,일반 목적용 기계 제조업,
322000,KS,HD현대에너지솔루션,반도체 제조업,
267260,KS,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",
329180,KS,HD현대중공업,선박 및 보트 건조업,
376270,KQ,HEM파마,자연과학 및 공학 연구개발업,
097230,KS,HJ중공업,토목 건설업,
195940,KQ,HK이노엔,의약품 제조업,
014790,KS,HL D&I,토목 건설업,
028300,KQ,HLB,의료용품 및 기타 의약 관련제품 제조업,
003580,KS,HLB글로벌,종합 소매업,
278650,KQ,HLB바이오스텝,자연과학 및 공학 연구개발업,
067630,KQ,HLB생명과학,의료용품 및 기타 의약 관련제품 제조업,
024850,KQ,HLB이노베이션,전자부품 제조업,
187420,KQ,HLB제넥스,기초 의약물질 제조업,
047920,KQ,HLB제약,자연과학 및 공학 연구개발업,
115450,KQ,HLB테라퓨틱스,기타 전문 도매업,
