ticker,market,ccy,sector,subsector,mcap,ttmRev,ttmFCF,margin3y,growth,roic,ndEbitda,cagr,ret1m,ret3m,ret6m,off52w
삼성전자,KR,KRW,반도체,chip,16777569,,,,,,,,0.4,-8.4,51.1,-31.8
삼성전자우,KR,KRW,,,12279501,,,,,,,,5.2,-0.5,54.4,-23.6
SK하이닉스,KR,KRW,반도체,chip,10676218,,,,,,,,-18.5,-18,67.1,-49.6
SK스퀘어,KR,KRW,지주/기타,,1349719,,,,,,,,-11.8,-9.1,80,-53.2
현대차,KR,KRW,자동차/부품,,1072211,,,,,,,,-7.8,-36.6,-18.8,-47.7
삼성전기,KR,KRW,IT하드웨어,,1008556,,,,,,,,3.6,39.4,337.7,-44.8
LG에너지솔루션,KR,KRW,2차전지,,838890,,,,,,,,9.1,-19.1,-10.9,-32
삼성바이오로직스,KR,KRW,바이오/제약,,717047,,,,,,,,10.6,7.3,-11.9,-22
한화에어로스페이스,KR,KRW,조선/방산,,594748,,,,,,,,23.5,-10,-12.7,-30.2
삼성물산,KR,KRW,지주/기타,,584996,,,,,,,,-1,-17.8,13,-36.7
KB금융,KR,KRW,금융,,582836,,,,,,,,-10.8,8.1,16.8,-14.7
삼성생명,KR,KRW,금융,,543214,,,,,,,,-7.2,1,53.2,-41.4
기아,KR,KRW,자동차/부품,,527018,,,,,,,,-5.5,-19.4,-13.5,-36.2
현대차2우B,KR,KRW,,,524977,,,,,,,,0.2,-24.8,-24.5,-39.6
현대차우,KR,KRW,,,521050,,,,,,,,-0.4,-25.5,-23.2,-39.5
HD현대중공업,KR,KRW,조선/방산,,520467,,,,,,,,1.7,-29.8,-14.9,-35.2
두산에너빌리티,KR,KRW,산업재/기계,,513224,,,,,,,,9.7,-36.1,-16.8,-42.3
현대차3우B,KR,KRW,,,507696,,,,,,,,0.1,-24.6,-23.4,-37.6
신한지주,KR,KRW,금융,,488757,,,,,,,,-4.4,7.3,15,-8.4
셀트리온,KR,KRW,바이오/제약,,463241,,,,,,,,15.4,9.7,-1.1,-15.5
현대모비스,KR,KRW,자동차/부품,,444565,,,,,,,,2.3,-9,11.1,-39.4
삼성SDI,KR,KRW,2차전지,,382058,,,,,,,,10.3,-22.8,24,-32.8
LG전자,KR,KRW,IT하드웨어,,368178,,,,,,,,10.5,10.9,99.4,-53.2
삼성전기우,KR,KRW,,,349028,,,,,,,,-1.7,20.2,262.9,-54.2
하나금융지주,KR,KRW,금융,,343127,,,,,,,,-3.5,3.9,13.7,-10.2
NAVER,KR,KRW,IT/플랫폼,,322344,,,,,,,,14.6,5.6,-18.5,-29.1
LS ELECTRIC,KR,KRW,산업재/기계,,310217,,,,,,,,13,-27.9,63.1,-37.8
SK,KR,KRW,지주/기타,,297253,,,,,,,,-6.5,0.7,64.7,-38.3
HD현대일렉트릭,KR,KRW,산업재/기계,,281463,,,,,,,,-0.8,-40.3,-15.4,-45.3
삼성화재,KR,KRW,금융,,277385,,,,,,,,-1.7,24.4,21.7,-17
한화오션,KR,KRW,조선/방산,,276028,,,,,,,,14.3,-26.1,-37.4,-41.8
효성중공업,KR,KRW,산업재/기계,,269296,,,,,,,,8.5,-31.1,21.3,-39
HD한국조선해양,KR,KRW,조선/방산,,269069,,,,,,,,11.4,-18.1,-10.4,-23.1
고려아연,KR,KRW,철강/소재,,247778,,,,,,,,18.5,-19.6,-33.6,-44.5
POSCO홀딩스,KR,KRW,철강/소재,,245768,,,,,,,,5.5,-32.2,-10.6,-40
우리금융지주,KR,KRW,금융,,240252,,,,,,,,5.8,3.8,3,-20.5
두산,KR,KRW,산업재/기계,,224244,,,,,,,,1.3,-25.2,39,-49.6
알테오젠,KR,KRW,바이오/제약,,220863,,,,,,,,30.4,20.7,4.5,-27.5
LG화학,KR,KRW,화학/정유,,215648,,,,,,,,5.8,-29.1,-13.4,-37
미래에셋증권,KR,KRW,금융,,212355,,,,,,,,-8.8,-50.9,-28.2,-58.4
SK이노베이션,KR,KRW,2차전지,,207276,,,,,,,,11.1,-4.7,8.6,-21.2
한미반도체,KR,KRW,반도체,equip,206305,,,,,,,,5.8,-42.4,7.4,-48.9
HMM,KR,KRW,운송,,201381,,,,,,,,9.2,7.8,4.1,-14.4
메리츠금융지주,KR,KRW,금융,,196081,,,,,,,,1.7,10.7,-1.9,-20.6
SK텔레콤,KR,KRW,통신/유틸,,187065,,,,,,,,2.5,-15.1,12.7,-37.1
삼성중공업,KR,KRW,조선/방산,,185778,,,,,,,,-1.4,-30.7,-25.6,-38.5
KT&G,KR,KRW,소비재/유통,,184160,,,,,,,,1.8,-2.6,9.6,-7.8
삼성에스디에스,KR,KRW,IT/플랫폼,,182160,,,,,,,,23.8,31.3,36.4,-39.4
삼성화재우,KR,KRW,,,176899,,,,,,,,1.3,5.7,3,-15.2
카카오,KR,KRW,IT/플랫폼,,174290,,,,,,,,13.8,-9.2,-32.4,-43.3
LIG디펜스앤에어로스페이스,KR,KRW,무기 및 총포탄 제조업,,172141,,,,,,,,8.7,-10.4,68,-29.5
LG,KR,KRW,지주/기타,,169007,,,,,,,,10.4,-0.7,17.2,-41
삼성SDI우,KR,KRW,,,166044,,,,,,,,11.7,-33.8,-0.5,-43.4
S-Oil,KR,KRW,화학/정유,,164735,,,,,,,,1.4,23.8,41.6,-20.1
HD현대,KR,KRW,지주/기타,,162891,,,,,,,,16.4,-19.7,-3.4,-30.8
기업은행,KR,KRW,금융,,160681,,,,,,,,-4.7,-5.6,-11.8,-31.8
현대로템,KR,KRW,조선/방산,,159893,,,,,,,,-13.8,-31.9,-35.9,-48
현대글로비스,KR,KRW,운송,,149775,,,,,,,,6.3,-24.8,-20.4,-32.5
에이피알,KR,KRW,소비재/유통,,148629,,,,,,,,4.5,-4.5,50.4,-16.1
LG이노텍,KR,KRW,IT하드웨어,,142934,,,,,,,,-8.6,-13.2,144.5,-66.2
포스코퓨처엠,KR,KRW,2차전지,,142314,,,,,,,,6.2,-38.7,-31.2,-46.6
한화시스템,KR,KRW,조선/방산,,141367,,,,,,,,13.7,-32.3,-38.5,-58.9
한국항공우주,KR,KRW,조선/방산,,140462,,,,,,,,0.4,-13.1,-15.8,-33.1
LG전자우,KR,KRW,,,129132,,,,,,,,7.8,-2.3,41,-48
현대건설,KR,KRW,산업재/기계,,127923,,,,,,,,12.1,-27.1,0.7,-42.6
KT,KR,KRW,통신/유틸,,125495,,,,,,,,0,-12,-7.9,-24.1
에코프로,KR,KRW,2차전지,,123633,,,,,,,,9.2,-34.6,-48.1,-51.9
현대오토에버,KR,KRW,IT/플랫폼,,118742,,,,,,,,-1.1,-29.6,-3.1,-59.4
한국금융지주,KR,KRW,금융,,117086,,,,,,,,-15.4,-19.6,-5.9,-33.3
에코프로비엠,KR,KRW,2차전지,,111911,,,,,,,,-4.5,-44.3,-48.6,-56
SK이노베이션우,KR,KRW,,,110073,,,,,,,,8.5,-10,-9.1,-24.9
NH투자증권,KR,KRW,금융,,106929,,,,,,,,-8.3,-16,5.4,-33
크래프톤,KR,KRW,게임,,105978,,,,,,,,-1.3,-15.3,-3.7,-31.7
LG우,KR,KRW,,,104241,,,,,,,,4,-8.4,-4.9,-32.8
카카오뱅크,KR,KRW,금융,,103634,,,,,,,,-6.7,-3.5,-13,-26.3
LG화학우,KR,KRW,,,98314,,,,,,,,1.8,-31.2,-20.3,-40.9
대한항공,KR,KRW,운송,,97873,,,,,,,,2.5,6.6,11.6,-15.1
삼성E&A,KR,KRW,산업재/기계,,96628,,,,,,,,20,-10.2,53.6,-26.7
DB손해보험,KR,KRW,금융,,96423,,,,,,,,-0.1,-1.5,4.1,-25.7
GS,KR,KRW,기타 금융업,,95622,,,,,,,,27,32.5,44.1,-5.1
포스코인터내셔널,KR,KRW,지주/기타,,95108,,,,,,,,10.3,-24.6,-18.3,-38.8
레인보우로보틱스,KR,KRW,산업재/기계,,95059,,,,,,,,18.1,-42.7,-35.3,-49.9
아모레퍼시픽,KR,KRW,소비재/유통,,93534,,,,,,,,11.6,10.1,-2.7,-19.7
LS,KR,KRW,산업재/기계,,93467,,,,,,,,11,-33.9,44.6,-44.2
NH투자증권우,KR,KRW,,,93071,,,,,,,,1,-8.3,8.5,-19.8
한국금융지주우,KR,KRW,,,90165,,,,,,,,-1.3,-10.9,5.5,-20.5
삼양식품,KR,KRW,소비재/유통,,89796,,,,,,,,8.5,-9.5,9.3,-27.7
HD현대마린솔루션,KR,KRW,조선/방산,,89663,,,,,,,,3.3,-19.5,12.7,-30.3
한국타이어앤테크놀로지,KR,KRW,자동차/부품,,85514,,,,,,,,0.6,18.4,7.7,-10.6
삼성증권,KR,KRW,금융,,83138,,,,,,,,-14.4,-27.3,0.5,-42.9
한화솔루션,KR,KRW,기초 화학물질 제조업,,80325,,,,,,,,11.6,-12.5,-2.1,-39.8
대한항공우,KR,KRW,,,79776,,,,,,,,0.2,-5.7,-8.7,-19.4
한진칼,KR,KRW,운송,,79540,,,,,,,,-10.2,7.7,-0.3,-32.8
주성엔지니어링,KR,KRW,특수 목적용 기계 제조업,,79507,,,,,,,,-4.7,11.5,262.5,-38.5
S-Oil우,KR,KRW,,,79050,,,,,,,,0.6,20.6,19.8,-9.7
키움증권,KR,KRW,금융,,78373,,,,,,,,-7.6,-28.8,-32.7,-42.2
두산우,KR,KRW,,,78146,,,,,,,,3.1,-37.2,-9,-48
미래에셋증권우,KR,KRW,,,76448,,,,,,,,-6.5,-40.1,-38.5,-55.7
하이브,KR,KRW,엔터/미디어,,76402,,,,,,,,-15.7,-22.5,-51.4,-55.7
LG씨엔에스,KR,KRW,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",,74893,,,,,,,,13.3,5.9,7.8,-49.6
