ticker,market,ccy,sector,subsector,mcap,ttmRev,ttmFCF,margin3y,growth,roic,ndEbitda,cagr,ret1m,ret3m,ret6m,off52w
한미반도체,KR,KRW,반도체,equip,220533,8500,2600,28,30,30,0,35,-23.5,-15.0,86.6,-45.4
HPSP,KR,KRW,반도체,equip,42000,2100,900,40,15,32,0,12,5,14,20,-12
리노공업,KR,KRW,반도체,osat,59654,3400,1200,33,10,24,0,6,-21.1,-24.1,29.1,-39.1
이오테크닉스,KR,KRW,반도체,equip,28000,3800,700,17,20,15,0,9,7,16,24,-8
원익IPS,KR,KRW,반도체,equip,64761,9500,800,8,12,9,0.6,1,4.6,13.8,110.9,-29.1
주성엔지니어링,KR,KRW,반도체,equip,88006,4300,950,21,14,21,0,10,-23.1,195.4,605.5,-31.9
티씨케이,KR,KRW,반도체,mat,14000,3200,850,26,9,23,0,4,3,9,12,-11
ISC,KR,KRW,반도체,osat,12000,2200,520,22,16,18,0.2,11,-3,-4,-6,-27
두산테스나,KR,KRW,반도체,osat,11000,3900,600,15,11,13,1.5,8,-5,-8,-12,-30
DB하이텍,KR,KRW,반도체,chip,21000,12000,3400,18,4,16,0,-2,-1,3,2,-22
MRVL,US,USD,반도체,chip,65000,6800,950,16,24,16,1.2,14,3,8,14,-11
MCHP,US,USD,반도체,chip,32000,5400,1500,30,8,19,1.8,2,-2,2,5,-18
ON,US,USD,반도체,chip,21000,7200,1100,15,6,17,0.8,3,1,4,6,-16
TER,US,USD,반도체,equip,19000,3100,620,20,12,22,0.1,6,6,18,25,-6
MPWR,US,USD,반도체,chip,29000,2400,640,26,18,28,0,15,4,10,18,-9
ENTG,US,USD,반도체,mat,16000,3500,500,14,9,11,2.4,4,2,7,10,-15
LSCC,US,USD,반도체,chip,9000,1600,380,24,15,20,0,5,2,6,9,-15
SWKS,US,USD,반도체,chip,12000,4200,1000,25,-2,14,0.3,-4,-4,-6,-10,-28
ONTO,US,USD,반도체,equip,10000,1300,260,19,14,15,0,12,8,22,30,-4
ALAB,US,USD,반도체,chip,25000,900,250,24,45,18,0,60,10,25,40,-7
